department,total_sales_value,total_baskets,unique_households,unique_products,average_sales_per_basket
GROCERY,2316393.89,121140,2458,29566,19.121626960541523
DRUG GM,596326.91,66579,2404,22883,8.956681686417639
FUEL,329594.45,12994,1136,14,25.36512621209789
PRODUCE,322858.82,50756,2350,2323,6.3609981085979985
MEAT,308575.33,30072,2175,1745,10.261217411545625
MEAT-PCKGD,232282.53,32943,2228,1752,7.051043620799563
DELI,148344.06,19999,2019,1801,7.4175738786939345
MISCELLANEOUS,73773.53,3432,1033,73,21.4957837995338
PASTRY,69116.68000000001,17107,2053,1666,4.0402572046530665
NUTRITION,57261.22,9849,1420,2265,5.813912072291603
SEAFOOD-PCKGD,35977.46,5092,1337,439,7.065487038491751
FLORAL,22303.18,2200,902,646,10.13780909090909
COSMETICS,18987.44,2978,978,2083,6.375903290799194
SALAD BAR,17812.4,4903,894,43,3.632959412604528
SEAFOOD,17081.36,1992,609,265,8.574979919678714
SPIRITS,12299.52,1085,397,289,11.335963133640554
GARDEN CENTER,5068.46,325,209,93,15.59526153846154
TRAVEL & LEISURE,1425.68,470,312,20,3.0333617021276598
RESTAURANT,1260.97,258,100,79,4.8874806201550385
COUPON,652.51,410,263,26,1.5914878048780488
AUTOMOTIVE,301.96,37,34,2,8.16108108108108
GM MERCH EXP,67.02,39,27,1,1.7184615384615383
PHOTO & VIDEO,51.7,17,17,3,3.0411764705882356
CNTRL/STORE SUP,44.95,15,14,4,2.996666666666667
POSTAL CENTER,6.57,5,5,1,1.314
FROZEN GROCERY,6.39,1,1,1,6.39
TOYS,4.17,2,2,2,2.085
PROD-WHS SALES,2.52,3,1,1,0.84
ELECT &PLUMBING,1.0,1,1,1,1.0
